trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2263,False,"{'e': 0.010845554570036048, 'a': 0.002}",30,20,16.645304699911303,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2264,False,"{'e': 0.010823885137551606, 'a': 0.002}",25,13,23.909399536095858,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2265,False,"{'e': 0.010802259000622138, 'a': 0.002}",25,15,20.68630371204626,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2266,False,"{'e': 0.010780676072743084, 'a': 0.002}",25,17,13.587926839446094,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2267,False,"{'e': 0.010759136267582695, 'a': 0.002}",30,19,22.697512658599745,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2268,False,"{'e': 0.01073763949898172, 'a': 0.002}",20,12,11.388711142159096,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2269,False,"{'e': 0.01071618568095305, 'a': 0.002}",25,17,16.503026302266015,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2270,False,"{'e': 0.010694774727681404, 'a': 0.002}",25,12,26.14721278278496,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2271,False,"{'e': 0.010673406553522925, 'a': 0.002}",25,15,18.527012319544827,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2272,False,"{'e': 0.010652081073004893, 'a': 0.002}",20,15,6.798620625813416,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2273,False,"{'e': 0.010630798200825346, 'a': 0.002}",20,13,14.518848462494429,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2274,False,"{'e': 0.010609557851852787, 'a': 0.002}",20,10,17.352310256147774,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2275,False,"{'e': 0.01058835994112578, 'a': 0.002}",20,6,26.268748209082386,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2276,False,"{'e': 0.010567204383852655, 'a': 0.002}",25,19,13.777189375726653,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2277,False,"{'e': 0.010546091095411146, 'a': 0.002}",20,11,16.815515324924675,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
